Wavenumber(cm^-1),2.0MLs101,2.0MLp101,2.0MLs010,2.0MLp010
1375.06644,-1.8806E-6,-2.0566E-6,2.203E-6,8.9232E-6
1376.995,-1.8002E-6,-3.1795E-6,1.8872E-6,8.8786E-6
1378.92357,-1.3433E-6,-2.85E-6,2.4087E-6,6.6965E-6
1380.85213,-8.275E-7,-2.6313E-6,4.4065E-6,6.4134E-6
1382.7807,-2.505E-7,-1.9908E-6,6.3526E-6,7.6414E-6
1384.70926,4.11E-7,-7.06E-8,7.6282E-6,9.9787E-6
1386.63782,7.819E-7,1.4887E-6,6.9105E-6,1.15733E-5
1388.56639,5.483E-7,1.4823E-6,3.7415E-6,9.3776E-6
1390.49495,-4.227E-7,9.397E-7,-1.16E-8,4.8342E-6
1392.42352,-1.101E-6,1.786E-6,-1.3611E-6,2.4075E-6
1394.35208,-1.3173E-6,3.6793E-6,-4.228E-7,2.8218E-6
1396.28065,-9.541E-7,3.808E-6,8.68E-8,3.6408E-6
1398.20921,-2.462E-7,2.1702E-6,-4.97E-8,4.1775E-6
1400.13778,3.749E-7,1.4195E-6,-4.52E-8,4.5856E-6
1402.06634,4.884E-7,1.8122E-6,-2.364E-7,4.1354E-6
1403.9949,1.819E-7,1.8109E-6,-2.513E-7,2.3947E-6
1405.92347,-1.537E-7,8.018E-7,3.775E-7,3.74E-7
1407.85203,-6.62E-8,-3.589E-7,8.415E-7,-5.505E-7
1409.7806,1.813E-7,-7.697E-7,4.973E-7,-4.412E-7
1411.70916,-7.96E-8,-1.5547E-6,-4.186E-7,-3.264E-7
1413.63773,-4.733E-7,-2.5223E-6,-1.2689E-6,-4.731E-7
1415.56629,-2.491E-7,-1.2336E-6,-1.2832E-6,9.43E-8
1417.49486,5.14E-7,1.7425E-6,-6.568E-7,1.2548E-6
1419.42342,8.239E-7,3.4624E-6,-4.61E-7,1.0673E-6
1421.35198,3.109E-7,3.0519E-6,-1.4474E-6,-6.232E-7
1423.28055,1.44E-7,1.4872E-6,-2.2152E-6,-2.2081E-6
1425.20911,7.911E-7,7.6E-7,-1.8381E-6,-3.3373E-6
1427.13768,1.4973E-6,1.7811E-6,-1.0667E-6,-4.1889E-6
1429.06624,1.5216E-6,2.4011E-6,-6.116E-7,-4.8562E-6
1430.99481,1.1844E-6,2.203E-7,-4.575E-7,-6.1294E-6
